_id,productCode,productBrand,productCapacity,ci,qty,booked,available,status,pusrchaseInvoice,productId,bl,date,warehouse,createdAt,updatedAt,__v
64830d7099b3f5aff1930201,SMF55559,SUPREME,55 AH,,5719,0,5719,,,643af0b5215409eb7cae6497,EPIRKRFGCL233611,2023-03-07T09:46:32.000Z,our wh 1 (old),2023-06-09T11:30:56.084Z,2023-06-09T11:30:56.084Z,0
64830e4299b3f5aff1930205,SMF1000RA,KOREANA,100 AH,,1438,0,1438,,,643aeb37215409eb7cae6481,EPIRKRFGCL233611,2023-03-07T09:46:32.000Z,our wh 1 (old),2023-06-09T11:34:26.485Z,2023-06-09T11:34:26.485Z,0
64830e9e99b3f5aff1930209,SMF60033,SUPREME,100 AH,,1296,0,1296,,,643af363215409eb7cae64a7,EPIRKRFGCL233611,2023-03-07T09:46:32.000Z,our wh 1 (old),2023-06-09T11:35:58.138Z,2023-06-09T11:35:58.138Z,0
64830fe899b3f5aff1930211,SMF N200L,SUPREME,200 AH,,144,0,144,,,643e59fc215409eb7cae6588,EPIRKRFGCL233611,2023-03-07T09:46:32.000Z,our wh 1 (old),2023-06-09T11:41:28.274Z,2023-06-09T11:41:28.274Z,0
648318a099b3f5aff1930219,SMFN40L,ROCKET,40 AH,,336,0,336,,,643bee9c215409eb7cae6500,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:18:40.872Z,2023-06-09T12:18:40.872Z,0
6483192199b3f5aff1930225,SMF1000RA,KINGSLIGHT,100 AH,,375,0,375,,,643ae83c215409eb7cae6475,KMTCPNC3959847D,2023-02-09T08:32:30.000Z,azal,2023-06-09T12:20:49.982Z,2023-06-09T12:20:49.982Z,0
6483194c99b3f5aff193022d,SMF1000RA,KINGSLIGHT,100 AH,,225,0,225,,,643ae83c215409eb7cae6475,KMTCPNC3991021D,2023-05-05T12:20:50.000Z,azal,2023-06-09T12:21:32.604Z,2023-06-09T12:21:32.604Z,0
6483198199b3f5aff1930239,LR5-72HBD,Himo 5,540 W,,3080,0,3080,,,647af9e72c73a7f0e6d77449,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:22:25.072Z,2023-06-09T12:22:25.072Z,0
648319a299b3f5aff193023d,SMF1000R,KINGSLIGHT,100 AH,,75,0,75,,,643ae7e1215409eb7cae6472,KMTCPNC3959847D ,2023-02-09T07:54:24.000Z,azal,2023-06-09T12:22:58.240Z,2023-06-09T12:22:58.240Z,0
648319c099b3f5aff1930247,SMF 40B19L,ROCKET,30 AH,,148,0,148,,,6470a1262235602719319258,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:23:28.330Z,2023-06-09T12:23:28.330Z,0
64831a0299b3f5aff193024b,SMF160G51R,KINGSLIGHT,150 AH,,80,0,80,,,643ae883215409eb7cae6477,KMTCPNC3959847D ,2023-02-09T09:52:10.000Z,azal,2023-06-09T12:24:34.629Z,2023-06-09T12:24:34.629Z,0
64831a1c99b3f5aff1930253,SMF160G51R,KINGSLIGHT,150 AH,,80,0,80,,,643ae883215409eb7cae6477,KMTCPNC3991021D,2023-05-05T12:24:34.000Z,azal,2023-06-09T12:25:00.113Z,2023-06-09T12:25:00.113Z,0
64831a3a99b3f5aff193025b,SMF210H52R,KINGSLIGHT,200 AH,,30,0,30,,,643ae8e4215409eb7cae647a,KMTCPNC3991021D,2023-05-05T09:53:32.000Z,azal,2023-06-09T12:25:30.691Z,2023-06-09T12:25:30.691Z,0
64831a7899b3f5aff1930265,SMF210H52R,KINGSLIGHT,200 AH,,60,0,60,,,643ae8e4215409eb7cae647a,KMTCPNC3959847D   ,2023-03-23T12:25:30.000Z,azal,2023-06-09T12:26:32.404Z,2023-06-09T12:26:32.404Z,0
64831b6299b3f5aff1930274,SMF56638,ROCKET,66 AH,,449,0,449,,,643bef1c215409eb7cae6502,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:30:26.183Z,2023-06-09T12:30:26.183Z,0
64831c5499b3f5aff1930280,SMF80D26L,ROCKET,70 AH,,398,0,398,,,643bef68215409eb7cae6504,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:34:28.818Z,2023-06-09T12:34:28.818Z,0
64831cc599b3f5aff1930284,SMF 57412,ROCKET,74 AH,,540,0,540,,,647f3fba780586771ffa01ef,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:36:21.010Z,2023-06-09T12:36:21.010Z,0
64831d0699b3f5aff1930288,SMF95D31R,ROCKET,90 AH,,1080,0,1080,,,643befd6215409eb7cae6506,EPIRKRFGCL233581,2023-03-03T09:46:32.000Z,azal,2023-06-09T12:37:26.039Z,2023-06-09T12:37:26.039Z,0
