_id,category,country,company,brand,code,capacity,palatSize,price,image[0],description,netWeight,grossWeight,__v,stock,LocalPrice,freezonePrice,updatedAt,booked,coming,lastUpdateBy,createdAt,bl[0]._id,bl[1]._id,bl[2]._id,bl[3]._id,bl[4]._id,bl[5]._id,bl[6]._id,bl[7]._id,bl[8]._id,bl[9]._id,bl[0].code,bl[1].code,bl[2].code,bl[3].code,bl[4].code,bl[5].code,bl[6].code,bl[7].code,bl[8].code,bl[9].code,bl[0].qty,bl[1].qty,bl[2].qty,bl[3].qty,bl[4].qty,bl[5].qty,bl[6].qty,bl[7].qty,bl[8].qty,bl[9].qty,bl[0].date,bl[1].date,bl[2].date,bl[3].date,bl[4].date,bl[5].date,bl[6].date,bl[7].date,bl[8].date,bl[9].date,bl[0].warehouse,bl[1].warehouse,bl[2].warehouse,bl[3].warehouse,bl[4].warehouse,bl[5].warehouse,bl[6].warehouse,bl[7].warehouse,bl[8].warehouse,bl[9].warehouse,bl[0].status,bl[1].status,bl[2].status,bl[3].status,bl[4].status,bl[5].status,bl[6].status,bl[7].status,bl[8].status,bl[9].status,bl[0].booked,bl[1].booked,bl[2].booked,bl[3].booked,bl[4].booked,bl[5].booked,bl[6].booked,bl[7].booked,bl[8].booked,bl[9].booked
641c316a4d1ef63239f7d6fa,Battery,India,Enkeel,,Pacer 220 AH PACER,220Ah,,135,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682762752/nlu7fnxt81mobj9jfgnv.png,.,64,65,0,0,163,141,2023-05-31T13:50:24.120Z,0,0,,2023-03-23T11:00:58.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c33c64d1ef63239f7d70c,Battery,India,Pacer,Infinity,220AH,220 AH,,125,https://res.cloudinary.com/dvfuxrg12/image/upload/v1679569861/ut9yap4ztsvsoyxaxljy.png,,64,65,0,400,151,131,2023-05-31T13:50:40.114Z,0,0,,2023-03-23T11:11:02.730Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c35564d1ef63239f7d713,Battery,China,EXIDE,EXIDE, SGL200,200Ah,0,254,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682753431/bu94s4qvej3cfxiha6dg.png,12 Volt with AGM technology and maintenance free design,81,82,0,380,303,264,2023-06-06T14:04:10.402Z,0,0,,2023-03-23T11:17:42.326Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641c36034d1ef63239f7d716,Battery,India,Exide,EXIDE, EL 200-C10,200 AH,0,184,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682772234/vrhfmmbwezjvnzuibjlo.png,,68,69.56,0,0,224.25,195,2023-05-31T13:51:34.177Z,0,0,,2023-03-23T11:20:35.742Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641ebb940cbb6eb40a064426,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,OFF GRID 3KV/24V,3KV/24V,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682702043/lszachfkckuyxziwzkhb.png,,10,10.8,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-03-25T09:15:00.158Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641ebbe20cbb6eb40a064428,Inverter,India,LUMINOUS,LUMINOUS INVERTERS,OFF GRID 5KV/48V,5KV/48V,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682702052/admbgsgi0novshpx8izm.png,,12,12.16,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-03-25T09:16:18.668Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643509783e219623f0375fe9,Battery,India,Deepak,TUFFBULL,DP6500 TT,240AH,22,22,https://res.cloudinary.com/dvfuxrg12/image/upload/v1681197897/fu9g2ixfviv3z7dpsp7i.png,TALL TUBULAR BATTARY,73.5,72,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-04-11T07:17:12.199Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64350bf73e219623f0375fed,Battery,India,Deepak,TUFFBULL,DP6000 TT,200 AH,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1681198065/qubiemjp2onweqzppeic.png,TALL TUBULAR BATTERY,68.5,67,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-04-11T07:27:51.212Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643ae02c215409eb7cae644f,Battery,South korea,DN Automotive,KINGSLIGHT,SMF32B19L,32 AH,,,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682703350/sotnrdjt96kwixfasgiy.png,,8.9,9.17,0,,9,10,2023-05-15T07:27:55.703Z,0,0,,2023-04-15T17:34:36.183Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643ae155215409eb7cae6457,Battery,South korea,DN Automotive,KINGSLIGHT,SMF50B24LS,40 AH,0,0,https://res.cloudinary.com/dvfuxrg12/image/upload/v1682703359/nr9wnedk7zdety3e60ns.png,,11.12,11.45,0,,,,2023-05-15T07:27:55.703Z,0,0,,2023-04-15T17:39:33.462Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
